Tuples,F(X),E(X),Type
"(0, 0, 0, 1, 4, 1, 3, 1, 2, 3, 3)",2.0,1.6363636363636365,Unique
"(3, 0, 0, 0, 1, 4, 1, 3, 1, 2, 3)",5.0,1.6363636363636365,rotation1
"(3, 3, 0, 0, 0, 1, 4, 1, 3, 1, 2)",13.0,1.6363636363636365,rotation2
"(2, 3, 3, 0, 0, 0, 1, 4, 1, 3, 1)",17.0,1.6363636363636365,rotation3
"(1, 2, 3, 3, 0, 0, 0, 1, 4, 1, 3)",11.0,1.6363636363636365,rotation4
"(3, 1, 2, 3, 3, 0, 0, 0, 1, 4, 1)",29.0,1.6363636363636365,rotation5
"(1, 3, 1, 2, 3, 3, 0, 0, 0, 1, 4)",19.0,1.6363636363636365,rotation6
"(4, 1, 3, 1, 2, 3, 3, 0, 0, 0, 1)",101.0,1.6363636363636365,rotation7
"(1, 4, 1, 3, 1, 2, 3, 3, 0, 0, 0)",67.0,1.6363636363636365,rotation8
"(0, 1, 4, 1, 3, 1, 2, 3, 3, 0, 0)",22.0,1.6363636363636365,rotation9
"(0, 0, 1, 4, 1, 3, 1, 2, 3, 3, 0)",7.0,1.6363636363636365,rotation10
"(0, 0, 1, 0, 1, 0, 6, 3, 4, 2, 2)",1.0,1.7272727272727273,Unique
"(2, 0, 0, 1, 0, 1, 0, 6, 3, 4, 2)",1.0,1.7272727272727273,rotation1
"(2, 2, 0, 0, 1, 0, 1, 0, 6, 3, 4)",1.0,1.7272727272727273,rotation2
"(4, 2, 2, 0, 0, 1, 0, 1, 0, 6, 3)",5.0,1.7272727272727273,rotation3
"(3, 4, 2, 2, 0, 0, 1, 0, 1, 0, 6)",13.0,1.7272727272727273,rotation4
"(6, 3, 4, 2, 2, 0, 0, 1, 0, 1, 0)",277.0,1.7272727272727273,rotation5
"(0, 6, 3, 4, 2, 2, 0, 0, 1, 0, 1)",92.0,1.7272727272727273,rotation6
"(1, 0, 6, 3, 4, 2, 2, 0, 0, 1, 0)",61.0,1.7272727272727273,rotation7
"(0, 1, 0, 6, 3, 4, 2, 2, 0, 0, 1)",20.0,1.7272727272727273,rotation8
"(1, 0, 1, 0, 6, 3, 4, 2, 2, 0, 0)",13.0,1.7272727272727273,rotation9
"(0, 1, 0, 1, 0, 6, 3, 4, 2, 2, 0)",4.0,1.7272727272727273,rotation10
"(0, 0, 1, 0, 3, 1, 1, 5, 4, 2, 2)",1.0,1.7272727272727273,Unique
"(2, 0, 0, 1, 0, 3, 1, 1, 5, 4, 2)",1.0,1.7272727272727273,rotation1
"(2, 2, 0, 0, 1, 0, 3, 1, 1, 5, 4)",1.0,1.7272727272727273,rotation2
"(4, 2, 2, 0, 0, 1, 0, 3, 1, 1, 5)",5.0,1.7272727272727273,rotation3
"(5, 4, 2, 2, 0, 0, 1, 0, 3, 1, 1)",53.0,1.7272727272727273,rotation4
"(1, 5, 4, 2, 2, 0, 0, 1, 0, 3, 1)",35.0,1.7272727272727273,rotation5
"(1, 1, 5, 4, 2, 2, 0, 0, 1, 0, 3)",23.0,1.7272727272727273,rotation6
"(3, 1, 1, 5, 4, 2, 2, 0, 0, 1, 0)",61.0,1.7272727272727273,rotation7
"(0, 3, 1, 1, 5, 4, 2, 2, 0, 0, 1)",20.0,1.7272727272727273,rotation8
"(1, 0, 3, 1, 1, 5, 4, 2, 2, 0, 0)",13.0,1.7272727272727273,rotation9
"(0, 1, 0, 3, 1, 1, 5, 4, 2, 2, 0)",4.0,1.7272727272727273,rotation10
"(0, 0, 2, 2, 0, 6, 0, 3, 2, 0, 3)",5.0,1.6363636363636365,Unique
"(3, 0, 0, 2, 2, 0, 6, 0, 3, 2, 0)",13.0,1.6363636363636365,rotation1
"(0, 3, 0, 0, 2, 2, 0, 6, 0, 3, 2)",4.0,1.6363636363636365,rotation2
"(2, 0, 3, 0, 0, 2, 2, 0, 6, 0, 3)",5.0,1.6363636363636365,rotation3
"(3, 2, 0, 3, 0, 0, 2, 2, 0, 6, 0)",13.0,1.6363636363636365,rotation4
"(0, 3, 2, 0, 3, 0, 0, 2, 2, 0, 6)",4.0,1.6363636363636365,rotation5
"(6, 0, 3, 2, 0, 3, 0, 0, 2, 2, 0)",85.0,1.6363636363636365,rotation6
"(0, 6, 0, 3, 2, 0, 3, 0, 0, 2, 2)",28.0,1.6363636363636365,rotation7
"(2, 0, 6, 0, 3, 2, 0, 3, 0, 0, 2)",37.0,1.6363636363636365,rotation8
"(2, 2, 0, 6, 0, 3, 2, 0, 3, 0, 0)",49.0,1.6363636363636365,rotation9
